34|Mirage Emblem|The holder gains the Mirage trait. [Unique - Only One Per Champion]|?|Negatron Cloak|Spatula|Magic Resist|20|NULL|NULL
35|Chalice of Power|Combat start: Grant 30 Ability Power to the holder and allies within 1 hex in the same row.​​[Aura item]|D|Negatron Cloak|Tear of the Goddess|Magic Resist|20|Mana|15
36|Rapid Firecannon|Grant 30% bonus Attack Speed and 1 bonus Attack Range.Attacks cannot miss.|B|Recurve Bow|Recurve Bow|Attack Speed|20|NULL|NULL
37|Last Whisper|Grant 10% bonus Attack Speed. Dealing physical damage reduces the target's Armor by 50% for 5 seconds. This effect does not stack.[Unique - only 1 per champion]|C|Recurve Bow|Sparring Gloves|Attack Speed|20|Critical Strike Chance|15
38|Swiftshot Emblem|The holder gains the Swiftshot trait. [Unique - Only One Per Champion]|?|Recurve Bow|Spatula|Attack Speed|20|NULL|NULL
39|Static Shiv|Grant 10% bonus Attack Speed. Every 3rd attack unleashes chain lightning that bounces to 4 enemies, dealing 50 magic damage and reducing their Magic Resist by 50% for 5 seconds.[Direct damage item]|B|Recurve Bow|Tear of the Goddess|Attack Speed|20|Mana|15
40|Theif's Gloves|Each round: Equip 2 random items.[Consumes 3 item slots.]|A|Sparring Gloves|Sparring Gloves|Dodge|15|Critical Strike Chance|15
41|Lagoon Emblem|The holder gains the Lagoon trait. [Unique - Only One Per Champion]|?|Sparring Gloves|Spatula|Dodge|10|Critical Strike Chance|5
42|Hand of Justice|Grant 2 effects: (15 Attack Damage and 15 Ability Power) (15% Omnivamp) Each round, randomly double 1 of these effects.|A|Sparring Gloves|Tear of the Goddess|Critical Strike Chance|15|Mana|15
43|Mage Emblem|The holder gains the Mage trait. [Unique - Only One Per Champion]|?|Tear of the Goddess|Spatula|Mana|15|NULL|NULL
44|Tactician's Crown|Your team gains +1 maximum team size.|?|Spatula|Spatula|NULL|NULL|NULL|NULL
45|Blue Buff|Combat Start: Grant 20 bonus starting Mana. After casting an Ability, set Mana to 20.[Unique - only 1 per champion]|B|Tear of the Goddess|Tear of the Goddess|Mana|30|NULL|NULL



