23|Coral Shield|Malphite shields himself for 5 seconds.|Base Shield Armor|200|250|325|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
24|Fury of the Dawn|Nasus surrounds himself in light for 6 seconds, gaining maximum health and dealing magic damage to adjacent enemies every second.|Bonus Health|225|350|650|Damage Per Second|70|100|185|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
25|Primal Surge|Nidalee transforms into Cougar Form for the rest of combat, reducing her Attack Range to 1 and gaining bonus movement speed and Attack Speed. While in cougar form, every 3rd attack swipes her target dealing 225% of her Attack Damage.|Attack Speed|40|45|50|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
26|Slipstream|Nilah cracks her whip-blade at her target, dashing through them and dealing 200% of her Attack Damage plus magic damage. If this does damage to a shield, she steals a percent of the damage she deals to it. She instantly recasts if the target is killed or remains shielded.|Damage|130|200|1000|Shield Steal|80|100|300|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
27|Fireballs!|Nomsy bellows, lobbing a massive fireball towards a random enemy that explodes on impact, dealing magic damage to enemies within 1 hex, and bouncing additional fireballs outward that deal a percent of the damage.|Magic Damage|210|300|480|Percentage Damage|30|35|40|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
28|Consume|Nunu encourages Willump to bite his target, dealing magic damage. If Willump's target has less Health than he does before the bite, it deals an additional 20% damage and becomes true damage.|Damage|350|500|800|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
29|Recklessness|Passive: Olaf seeks glorious death, permanently gaining 4 Attack Damage (10 in Hyper Roll) whenever he dies. Active: Olaf strikes his target, dealing a percent of his Attack Damage and gaining Attack Speed for 6 seconds. If he's below 50% Health, the Attack Speed is doubled.|Attack Speed Bonus|35|45|60|Percent of Attack Damage|200|230|240|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
30|Aegis Assault|Passive: Pantheon takes reduced damage. Active: Pantheon braces his shield for 2 seconds, doubling the effectiveness of his passive and dealing a percent of his Attack Damage plus bonus damage in the area in front of him over the duration. Enemies hit have their incoming healing reduced by 50% for 3 seconds.|Damage Reduction|20|25|40|Base Damage|100|150|700|Percent of Attack Damage|265|280|380|NULL|NULL|NULL|NULL
31|Elemental Blade|Qiyana dashes to the best position to strike enemies with her blade, dealing magic damage in a short line and disarming enemies hit.|Damage|200|250|400|Disarm Duration|1.5|1.75|2|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
32|Disarming Diversion|Rakan dashes to the furthest enemy within his attack range, disarming all units he passes through, and taunting his target. Then for 4 seconds, Rakan creates a shield on himself and his attacks grant him an additional shield.|Shield|200|350|550|Disarm Duration|1.5|1.75|2|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
33|Iron Bond|Rell forms a tether between herself and her lowest percent health ally, dealing magic damage to all enemies between herself and her bound ally. She also grants herself and her bound ally a percent of Rell's current Armor and Magic Resist for 4 seconds.|Damage|150|225|400|Percent Armor and Magic Resist |35|40|50|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
34|Unseed Predator|Rengar leaps to the lowest armor enemy, dealing a percent of his Attack Damage plus bonus magic damage. He then gains a burst of Attack Speed for his next 2 attacks.|Percent of Attack Damage|255|265|275|Bonus Damage|60|80|100|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
35|Warrior's Wrath|Sejuani swings her mace wide, hitting all enemies in a cone for magic damage equal to 5% of her maximum Health. She quickly strikes again, repeating the damage on her target and the enemy directly behind it and stunning them.|Stun Duration|1.5|1.75|2|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
36|Last Embrace|Senna launches black mist toward the farthest enemy, striking the first enemy hit and dealing a percent of her Attack Damage on a small area and additional magic damage to the target hit.|Bonus Damage|300|450|600|Percent of Attack Damage|200|240|300|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
37|Serenade of the Seas|Seraphine sings a serenade of the seas, granting a shield and magic damage on attacks to all allies within 2 hexes for 5 seconds.|Shield Amount|160|220|300|On-Hit Damage|20|35|100|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
38|Knuckle Down|For the next 4 seconds, Sett gains Armor and Magic Resist, and every other punch deals a percent of his Attack Damage as bonus physical damage.|Armor and Magic Resist|50|60|80|Percent of Attack Damage|150|155|170|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
39|Jade Form|Shi Oh Yu enters Jade stance, gaining damage reduction, immunity to crowd control, and empowering her next 3 attacks with special effects that deal a percent of her Attack Damage. Attack 1: Deals a percent of her Attack Damage and knocks the target into the air for 1.25 second. Attack 2: Deals true damage. Attack 3: Ends the stance, dealing a percent of her Attack Damage to all enemies in a line and knocking them up for 1.25 seconds.|Damage Reduction|20|25|50|Percent of Attack Damage|250|275|1000|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
40|Dragon's Descent|Shyvana transforms into Dragon Form for the rest of combat, replacing her ability with Flame Breath. She then becomes untargetable before dive-bombing the largest group of enemies, dealing magic damage and stunning them for 1.25 seconds. After landing, Shyvana casts Flame Breath again immediately. Flame Breath: Shyvana breathes fire in a cone, dealing magic damage. While breathing fire, Shyvana is always enraged.|Initial Damage|80|150|500|Breath Damage|700|1200|20000|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
41|Crystalline Exoskeleton|Skarner shields himself for 8 seconds, and gains Attack Speed while it holds.|Shield Amount|300|375|450|Attack Speed|160|180|200|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
42|Tideblossom|Sohm sends out a tide to an unmarked target, marking them with a Tideblossom and dealing magic damage to enemies along the way. Tideblossoms transfer to a nearby target if the enemy dies. After 3 casts, his next cast instead summons a vortex under each Tideblossom, dealing magic damage to enemies in the area.|Tide Damage|165|225|600|Vortex Damage|300|420|1500|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
43|Starfall|Passive: While any ally is below 50% Health, Soraka gains an additional 15 mana per attack. Active: Soraka calls down a shower of stars over the next 2 seconds. Allies are healed each time a star hits them.|Healing|105|165|1000|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
44|Dragon Master's Decree|Swain releases his dragonling flock, launching 8 dragonlings toward nearby enemies that each deal magic damage to their target, then return to Swain and heal him for 12% of his missing Health.|Damage|70|100|600|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
45|Rampage|Sy'fen charges towards the farthest enemy within 2.5 hexes, dealing a percent of his Attack Damage and knocking up enemies he passes through. After charging, Sy'fen bites an enemy dealing a percent of his Attack Damage and ignoring 28% of the target's Armor. This bite cannot be dodged.|Charge% of Attack Damage|150|170|450|Bite% of Attack Damage|475|550|2500|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
46|Petricite Burst|Sylas whirls his chains, dealing magic damage to enemies hit and shielding himself for 6 seconds. If Sylas has already shielded himself, he hits in a larger area and applies Mana-Reave to enemies hit, increasing the cost of their next ability by 35%.|Damage|110|170|240|Shield Amount|365|415|475|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
47|Flowing Volley|Taliyah throws 3 stones at her target, each dealing damage to the first enemy hit.|Damage|145|215|325|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
48|Earthquake|Terra stomps three times causing an earthquake around them, dealing 200% of their Attack Damage plus a percent of their combined Armor and Magic Resist. At the end of the earthquake Terra's scales are hardened for 8 seconds, granting Armor and Magic Resist.|Armor and Magic Resist Buff|150|200|4000|Percent of Armor and Magic Resist Damage|150|200|4000|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
49|Explosive Charge|Tristana fires up to 1 explosive charge, prioritizing the closest targets without a charge. Charges detonate after 1 second, dealing a percent of her Attack Damage to nearby enemies and additional magic damage to the target.|Percent of Attack Damage|140|170|210|Bonus Attack Damage|30|45|70|Magic Damage|130|160|200|NULL|NULL|NULL|NULL
50|Blast Potion|Twitch hurls an exploding flask at his target, dealing 120% of his Attack Damage plus bonus physical damage in an area and reducing the Armor of enemies hit by 40% for 5 seconds.|Base Damage|40|80|150|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
51|Chain of Constellations|Varus sends out a cosmic tendril towards his target that strikes the first enemy hit, dealing 300% of his Attack Damage and stunning them. Tendrils then spread to 3 nearby enemies, dealing magic damage and stunning them for the same duration.|Damage|150|250|300|Stun Duration|1.5|1.75|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
52|Transfusion|Vladimir deals magic damage to his target and heals himself.|Damage|275|325|375|Healing|100|150|300|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
53|Relentless Storm|Volibear rages, gaining bonus Health. For the rest of combat, every 3rd attack deals bonus magic damage to the target, and magic damage to up to 4 additional enemies.|Bonus Health|400|700|1200|Damage|125|175|240|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
54|Crushing Blow|Wukong slams his target with his staff, dealing a percent of his Attack Damage plus bonus physical damage and stunning them.|Percent of Attack Damage|185|200|230|Base Damage|50|75|100|Stun Duration|1|1.25|1.5|NULL|NULL|NULL|NULL
55|Feathers FLY!|For 4 seconds, whenever Xayah attacks she fires a feather behind her target and nearby enemies. At the end of this duration Xayah recalls her feathers, dealing a percent of her Attack Damage plus bonus magic damage per feather to enemies struck.|Bonus Feathers|2|2|4|Recall Attack Percentage|18|18|18|Recall Damage|15|20|60|NULL|NULL|NULL|NULL
56|Sweeping Blade|Yasuo shields himself for 2 seconds and dashes through his target, slashing nearby enemies for a percent of his Attack Damage. Every third cast, his slash deals 250% damage, hits a larger area, and knocks up enemies for 1.5 seconds. If Yasuo hits only the last enemy left alive, he repeatedly slashes them until they die.|Shield Amount|180|240|2500|Percent of Attack Damage|150|180|3000|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
57|Way of the Hunter|Passive: Yone's attacks alternate between dealing bonus magic damage and dealing a percent of his Attack Damage.|Bonus Damage|90|140|200|Percent of Attack Damage|30|35|40|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
58|Unstable Current|Zac explodes outward towards enemies within 2 hexes, dealing a percent of their maximum Health as magic damage and healing himself.|Percent of Maximum Health|5|6|7|Heal|220|250|300|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
59|Watershock Laser|Zeri fires a water pulse at the closest enemy within 3 hexes, or at the centermost enemy, stunning them briefly for 0.75 seconds. When the pulse explodes,, it deals a percent of her Attack Damage and creates a laser behind the target that deals magic damage to all enemies hit.|Percent of Attack Damage|110|115|120|Laser Damage|200|300|475|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
60|Somersault Assault|Zippy shields himself for 2 seconds and somersaults toward the highest percent health enemy, dealing a percent of his Attack Damage and knocking them back slightly.|Shield Amount|375|450|650|Percent of Attack Damage|400|425|550|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
61|Nothing!|Zoe nabs a spell from another dimension and casts it as if it were her own.|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
62|Grasping Spines|Zyra summons vines in the row with the most enemies, dealing magic damage and stunning them.|Damage|325|425|550|Stun Duration|1|1.25|1.5|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
